kind,setting,n,c1_loss_support,c2_three_stage_support,c2_plateau_support,c3_stability_support,c4_proxy_support,c4_tradeoff_support,mean_final_closed_test_loss,mean_final_open_test_loss,mean_deployed_loss_gap,stage_exit_reasons
generalization,gru,10,1.0,0.0,1.0,0.0,0.9,,0.06758667479466494,55.968035257232614,55.900448582437946,fallback:10
generalization,low_rank,10,1.0,0.3,1.0,1.0,0.2,,0.09156789450670633,228.33882485926148,228.24725696475485,fallback:7;slope:3
generalization,ring_partial_obs_gru,20,0.15,1.0,1.0,0.0,0.9,,0.5499550087963835,0.6336427542011516,0.0836877454047681,slope:20
generalization,ring_partial_obs_tanh,20,0.05,0.1,1.0,0.0,0.0,,0.2685304011018016,0.27706750895828003,0.008537107856478529,fallback:18;slope:2
generalization,ring_path_integration,10,0.0,0.6,1.0,0.0,0.0,,0.2902012336740148,0.2907429733982837,0.0005417397242689443,fallback:4;slope:6
generalization,tanh_rnn,10,1.0,0.0,1.0,1.0,0.0,,0.09328946358678795,0.31148767986367004,0.21819821627688213,fallback:10
generalization,tracking_task,10,0.8,1.0,1.0,0.4,1.0,,0.27688227063127124,0.5178338338734612,0.24095156324218991,slope:10
original,original,50,1.0,0.0,1.0,1.0,0.0,,0.09330635309931018,0.31193904015060103,0.2186326870512909,fallback:50
robustness,adam,15,0.0,0.0,1.0,1.0,0.7333333333333333,,0.07803400822327473,0.07978574938247478,0.0017517411592000273,fallback:15
robustness,episode_long,15,1.0,0.0,1.0,1.0,0.0,,0.05225367287320181,0.6799741914066442,0.6277205185334425,fallback:15
robustness,episode_short,15,1.0,0.0,1.0,1.0,0.0,,0.17335227527236385,0.7183899687925975,0.5450376935202337,fallback:15
robustness,feedback_high,15,1.0,0.0,1.0,1.0,0.0,,0.08990663528654717,0.3732049431817119,0.28329830789516475,fallback:15
robustness,feedback_low,15,1.0,0.0,1.0,1.0,0.0,,0.10446706779284044,0.2671355308194058,0.16266846302656532,fallback:15
robustness,high_control_penalty,15,1.0,0.0,1.0,1.0,0.0,,0.09355848857968664,0.30578557510421234,0.21222708652452574,fallback:15
robustness,init_strong,15,1.0,0.0,1.0,1.0,0.0,,0.09561572931517767,0.47159677408511436,0.3759810447699367,fallback:15
robustness,init_weak,15,1.0,0.0,1.0,1.0,0.0,,0.09293362618660564,0.30248773412338276,0.2095541079367771,fallback:15
robustness,lr_high,15,1.0,0.0,1.0,1.0,0.0,,0.0831556137119407,0.1963170036342829,0.11316138992234219,fallback:15
robustness,lr_low,15,1.0,0.06666666666666667,1.0,1.0,0.0,,0.11952805604876773,6.865910521904627,6.74638246585586,fallback:14;slope:1
robustness,no_clip,15,0.0,0.0,0.0,0.0,0.0,,,,,nonfinite_loss:15
robustness,obs_noise,15,1.0,0.0,1.0,1.0,0.0,,0.10455663921311494,0.29064547187959155,0.1860888326664766,fallback:15
robustness,original,15,1.0,0.0,1.0,1.0,0.0,,0.0932886234415004,0.3114260337905087,0.21813741034900827,fallback:15
tradeoff,control_penalty_0,20,1.0,0.0,1.0,1.0,0.0,1.0,0.09322026416077349,0.3096994083082075,0.216479144147434,fallback:20
tradeoff,control_penalty_0p001,20,1.0,0.0,1.0,1.0,0.0,1.0,0.09322609205967454,0.3095437958487382,0.21631770378906365,fallback:20
tradeoff,control_penalty_0p005,20,1.0,0.0,1.0,1.0,0.0,1.0,0.09324936195447812,0.3089336132429806,0.21568425128850238,fallback:20
tradeoff,control_penalty_0p02,20,1.0,0.0,1.0,1.0,0.0,1.0,0.09333839421512446,0.30677888581422785,0.21344049159910342,fallback:20
tradeoff,control_penalty_0p05,20,1.0,0.0,1.0,1.0,0.0,1.0,0.09351979740346208,0.30309117278662234,0.20957137538316029,fallback:20
tradeoff,control_penalty_0p1,20,1.0,0.0,1.0,1.0,0.0,1.0,0.09382828041540725,0.29848342779220516,0.20465514737679785,fallback:20
