valid,boundary1,boundary2,one_segment_sse,two_segment_sse,three_segment_sse,best_two_segment_boundary,three_vs_one_sse_reduction,three_vs_two_sse_reduction,stage1_slope,stage2_slope,stage3_slope,stage1_fast,stage2_slow,stage3_reaccelerates,claim_C2_changepoint_three_stage,experiment,seed,kind,setting
True,40,220,194.27705881377142,7.089604599033327,4.0903726049061255,44,0.9789456736174545,0.4230464410576789,-0.13092068419367703,-0.0029381377075220687,-0.0003865220214939152,True,True,False,False,original_double_integrator_full,0,original,original
True,40,80,1317.8348882405585,75.76262335221998,38.28942148888301,50,0.9709452057837055,0.49461330937716186,-0.3232076570254461,-0.0747796952658269,-0.0005962750430385901,True,True,False,False,original_double_integrator_full,1,original,original
True,40,80,981.3690964251705,44.96016962743761,25.358546807993463,46,0.9741600312253902,0.43597751035801174,-0.29498743893394436,-0.05306188294308966,-0.0005666660073241991,True,True,False,False,original_double_integrator_full,2,original,original
True,40,278,111.3193731103911,6.821094321708813,4.343258332927832,40,0.9609838053200247,0.36326077194021805,-0.10832735080516855,-0.0019463934581376153,-0.0003347684570355976,True,True,False,False,original_double_integrator_full,3,original,original
True,40,282,155.6552200184201,14.245181306603811,11.96300449833059,40,0.9231442125942523,0.16020693307815212,-0.1417292611052658,-0.0018461479134319317,-0.0003247940269683158,True,True,False,False,original_double_integrator_full,4,original,original
True,40,236,192.88111935749976,8.112574321841045,5.111379157748707,40,0.9734998470831409,0.36994362640381395,-0.13856410335087624,-0.0025410645065789494,-0.00036337385409868685,True,True,False,False,original_double_integrator_full,5,original,original
True,40,264,124.26553225702105,5.32646711111142,2.730190845165822,42,0.9780293795425195,0.48742932450095594,-0.10933573234251553,-0.0021173997630322956,-0.00034932937046987836,True,True,False,False,original_double_integrator_full,6,original,original
True,40,182,245.1906528357199,11.382449126812016,7.5938583595780145,44,0.9690287607959266,0.33284495498510575,-0.14754929395536615,-0.004221811696025679,-0.00042967208876149005,True,True,False,False,original_double_integrator_full,7,original,original
True,40,282,102.14218705552958,5.33226167511917,3.0590944794565047,40,0.9700506268013095,0.4263045090734154,-0.10548905390832033,-0.0018385449312662808,-0.00032261405460406366,True,True,False,False,original_double_integrator_full,8,original,original
True,40,286,92.79825664700775,3.6122835203128076,1.3646662044056868,40,0.98529426894735,0.6222150900581822,-0.09723326435569153,-0.0018040535290661107,-0.0003216531364246704,True,True,False,False,original_double_integrator_full,9,original,original
True,40,222,184.7417384297587,12.006911947813343,9.1191343099932,42,0.9506384729974791,0.24050960399905782,-0.13131261294623722,-0.002735508856652616,-0.0003758782503916947,True,True,False,False,original_double_integrator_full,10,original,original
True,46,260,193.87732510871206,3.9733024282196006,1.4174175077112288,50,0.9926891011781989,0.6432646310423542,-0.10704816669997928,-0.0023070453338641245,-0.0003570117299200886,True,True,False,False,original_double_integrator_full,11,original,original
